mode,image_id,input_path,enc_path,meta_path,encrypt_time_ms,classification_label,classification_score,classification_entropy,classification_edge_density,classification_variance_norm,profile_name,profile_permutation_rounds,profile_arnold_iterations,metadata_threat_level,metadata_key_mode,cipher_size_bytes,cipher_entropy,cipher_adj_corr,decrypt_time_ms,decrypt_ok,exact_match,psnr,mse,wrong_passphrase_decrypt_success,wrong_private_key_decrypt_success,chosen_plaintext_encrypt_time_ms,chosen_plaintext_npcr,chosen_plaintext_uaci,attack_resilience__bit_flip_decrypt_success,attack_resilience__noise_decrypt_success,attack_resilience__partial_ciphertext_loss_center_0_8_decrypt_success,attack_resilience__partial_ciphertext_loss_head_0_9_decrypt_success,attack_resilience__partial_ciphertext_loss_tail_0_9_decrypt_success,attack_resilience__byte_mutation_decrypt_success,attack_resilience__block_shuffle_decrypt_success,attack_resilience__wrong_passphrase_decrypt_success,attack_resilience__wrong_private_key_decrypt_success,attack_resilience__replay_swap_ciphertext_decrypt_success,attack_resilience__replay_swap_metadata_decrypt_success,metadata_tamper_suite__missing_metadata_hmac,metadata_tamper_suite__tamper_threat_level,metadata_tamper_suite__tamper_profile_rounds,metadata_tamper_suite__tamper_nonce_salt_b64,metadata_tamper_suite__add_extra_field,metadata_tamper_suite__tamper_salt_b64,metadata_tamper_suite__tamper_image_sha256_b64,metadata_tamper_suite__tamper_working_shape,metadata_tamper_suite__tamper_dtype,metadata_tamper_suite__tamper_chaos_seed
passphrase_only,0011_image-1007,D:\Downloads\hybrid\sample-images\docs\image-1007.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0011_image-1007.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0011_image-1007.meta.json,739.9629,medium,0.521988,7.067371,0.094899,0.050907,standard,2,3,balanced,passphrase_only,4915216,7.999964,0.000172,921.918,True,True,inf,0.0,False,False,724.7712,99.606162,33.464397,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0011_image-1007,D:\Downloads\hybrid\sample-images\docs\image-1007.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0011_image-1007.enc,D:\Downloads\hybrid\artifacts\x25519_only\0011_image-1007.meta.json,685.2567,medium,0.521988,7.067371,0.094899,0.050907,standard,2,3,balanced,x25519_only,4915216,7.999959,0.001065,800.2397,True,True,inf,0.0,False,False,670.9088,99.612469,33.481853,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0011_image-1007,D:\Downloads\hybrid\sample-images\docs\image-1007.jpg,D:\Downloads\hybrid\artifacts\hybrid\0011_image-1007.enc,D:\Downloads\hybrid\artifacts\hybrid\0011_image-1007.meta.json,717.1454,medium,0.521988,7.067371,0.094899,0.050907,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999962,0.000184,883.4366,True,True,inf,0.0,False,False,722.1618,99.610861,33.46159,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0012_image-1008,D:\Downloads\hybrid\sample-images\docs\image-1008.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0012_image-1008.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0012_image-1008.meta.json,745.4224,medium,0.529836,7.182953,0.105039,0.029975,standard,2,3,balanced,passphrase_only,4915216,7.999963,-0.000272,866.9757,True,True,inf,0.0,False,False,781.7246,99.606915,33.463402,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0012_image-1008,D:\Downloads\hybrid\sample-images\docs\image-1008.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0012_image-1008.enc,D:\Downloads\hybrid\artifacts\x25519_only\0012_image-1008.meta.json,699.2172,medium,0.529836,7.182953,0.105039,0.029975,standard,2,3,balanced,x25519_only,4915216,7.999963,-0.000466,814.0101,True,True,inf,0.0,False,False,675.623,99.615459,33.468552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0012_image-1008,D:\Downloads\hybrid\sample-images\docs\image-1008.jpg,D:\Downloads\hybrid\artifacts\hybrid\0012_image-1008.enc,D:\Downloads\hybrid\artifacts\hybrid\0012_image-1008.meta.json,744.5289,medium,0.529836,7.182953,0.105039,0.029975,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999961,-0.000392,861.4082,True,True,inf,0.0,False,False,696.7185,99.604961,33.458218,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0013_image-1009,D:\Downloads\hybrid\sample-images\docs\image-1009.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0013_image-1009.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0013_image-1009.meta.json,730.7715,medium,0.577218,7.688195,0.137981,0.0484,standard,2,3,balanced,passphrase_only,4915216,7.999966,-0.000115,862.4631,True,True,inf,0.0,False,False,716.2038,99.608685,33.463821,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0013_image-1009,D:\Downloads\hybrid\sample-images\docs\image-1009.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0013_image-1009.enc,D:\Downloads\hybrid\artifacts\x25519_only\0013_image-1009.meta.json,718.7023,medium,0.577218,7.688195,0.137981,0.0484,standard,2,3,balanced,x25519_only,4915216,7.999966,-0.000314,796.5448,True,True,inf,0.0,False,False,695.2866,99.610109,33.455841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0013_image-1009,D:\Downloads\hybrid\sample-images\docs\image-1009.jpg,D:\Downloads\hybrid\artifacts\hybrid\0013_image-1009.enc,D:\Downloads\hybrid\artifacts\hybrid\0013_image-1009.meta.json,760.481,medium,0.577218,7.688195,0.137981,0.0484,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999958,4.5e-05,857.4631,True,True,inf,0.0,False,False,728.5824,99.612693,33.449261,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0014_image-101,D:\Downloads\hybrid\sample-images\docs\image-101.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0014_image-101.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0014_image-101.meta.json,669.4737,medium,0.509953,7.272182,0.017369,0.031865,standard,2,3,balanced,passphrase_only,4915216,7.999961,-0.000171,862.3206,True,True,inf,0.0,False,False,763.9392,99.605206,33.468227,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
